"Proteins Unique Sequence ID"	"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Contaminant"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Razor Peptides"	"Abundances Scaled F1 Sample"	"Abundances Scaled F2 Sample"	"Abundances Scaled F3 Sample"	"Abundances Scaled F4 Sample"	"Abundances Scaled F5 Sample"	"Abundances Scaled F6 Sample"	"Abundances Scaled F7 Sample"	"Abundances Scaled F8 Sample"	"Abundances Scaled F9 Sample"	"Abundances Scaled F10 Sample"	"Abundances Scaled F11 Sample"	"Abundances Scaled F12 Sample"	"Abundances Scaled F13 Sample"	"Abundances Scaled F14 Sample"	"Abundances Scaled F15 Sample"	"Abundances Scaled F16 Sample"	"Abundances Scaled F17 Sample"	"Abundances Scaled F18 Sample"	"Abundances Scaled F19 Sample"	"Abundances Scaled F20 Sample"	"Abundances Scaled F21 Sample"	"Abundances Scaled F22 Sample"	"Abundances Scaled F23 Sample"	"Abundances Scaled F24 Sample"	"Abundances Scaled F25 Sample"	"Abundances Scaled F26 Sample"	"Abundances Scaled F27 Sample"	"Abundances Scaled F28 Sample"	"Abundances Scaled F29 Sample"	"Abundances Scaled F30 Sample"	"Abundances Scaled F31 Sample"	"Abundances Scaled F32 Sample"	"Abundances Normalized F1 Sample"	"Abundances Normalized F2 Sample"	"Abundances Normalized F3 Sample"	"Abundances Normalized F4 Sample"	"Abundances Normalized F5 Sample"	"Abundances Normalized F6 Sample"	"Abundances Normalized F7 Sample"	"Abundances Normalized F8 Sample"	"Abundances Normalized F9 Sample"	"Abundances Normalized F10 Sample"	"Abundances Normalized F11 Sample"	"Abundances Normalized F12 Sample"	"Abundances Normalized F13 Sample"	"Abundances Normalized F14 Sample"	"Abundances Normalized F15 Sample"	"Abundances Normalized F16 Sample"	"Abundances Normalized F17 Sample"	"Abundances Normalized F18 Sample"	"Abundances Normalized F19 Sample"	"Abundances Normalized F20 Sample"	"Abundances Normalized F21 Sample"	"Abundances Normalized F22 Sample"	"Abundances Normalized F23 Sample"	"Abundances Normalized F24 Sample"	"Abundances Normalized F25 Sample"	"Abundances Normalized F26 Sample"	"Abundances Normalized F27 Sample"	"Abundances Normalized F28 Sample"	"Abundances Normalized F29 Sample"	"Abundances Normalized F30 Sample"	"Abundances Normalized F31 Sample"	"Abundances Normalized F32 Sample"	"Abundance F1 Sample"	"Abundance F2 Sample"	"Abundance F3 Sample"	"Abundance F4 Sample"	"Abundance F5 Sample"	"Abundance F6 Sample"	"Abundance F7 Sample"	"Abundance F8 Sample"	"Abundance F9 Sample"	"Abundance F10 Sample"	"Abundance F11 Sample"	"Abundance F12 Sample"	"Abundance F13 Sample"	"Abundance F14 Sample"	"Abundance F15 Sample"	"Abundance F16 Sample"	"Abundance F17 Sample"	"Abundance F18 Sample"	"Abundance F19 Sample"	"Abundance F20 Sample"	"Abundance F21 Sample"	"Abundance F22 Sample"	"Abundance F23 Sample"	"Abundance F24 Sample"	"Abundance F25 Sample"	"Abundance F26 Sample"	"Abundance F27 Sample"	"Abundance F28 Sample"	"Abundance F29 Sample"	"Abundance F30 Sample"	"Abundance F31 Sample"	"Abundance F32 Sample"	"Found in Sample in S1 F1 Sample"	"Found in Sample in S2 F2 Sample"	"Found in Sample in S3 F3 Sample"	"Found in Sample in S4 F4 Sample"	"Found in Sample in S5 F5 Sample"	"Found in Sample in S6 F6 Sample"	"Found in Sample in S7 F7 Sample"	"Found in Sample in S8 F8 Sample"	"Found in Sample in S9 F9 Sample"	"Found in Sample in S10 F10 Sample"	"Found in Sample in S11 F11 Sample"	"Found in Sample in S12 F12 Sample"	"Found in Sample in S13 F13 Sample"	"Found in Sample in S14 F14 Sample"	"Found in Sample in S15 F15 Sample"	"Found in Sample in S16 F16 Sample"	"Found in Sample in S17 F17 Sample"	"Found in Sample in S18 F18 Sample"	"Found in Sample in S19 F19 Sample"	"Found in Sample in S20 F20 Sample"	"Found in Sample in S21 F21 Sample"	"Found in Sample in S22 F22 Sample"	"Found in Sample in S23 F23 Sample"	"Found in Sample in S24 F24 Sample"	"Found in Sample in S25 F25 Sample"	"Found in Sample in S26 F26 Sample"	"Found in Sample in S27 F27 Sample"	"Found in Sample in S28 F28 Sample"	"Found in Sample in S29 F29 Sample"	"Found in Sample in S30 F30 Sample"	"Found in Sample in S31 F31 Sample"	"Found in Sample in S32 F32 Sample"	"Number of Protein Groups"	"Modifications"
"-4148573860173648200"	"False"	"High"	"None"	"A0A2R8Y5S7"	"Radixin OS=Homo sapiens OX=9606 GN=RDX PE=1 SV=1"	"0.000"	"False"	"8.888"	"4"	"2"	"5"	"0"	"590"	"69.3"	"6.27"	"7.16"	"2"	"0"	"17.6"	"643.4"	""	""	"66.0"	"126.3"	""	"642.2"	"124.3"	"254.0"	"164.1"	""	""	""	"138.4"	"152.3"	""	""	"115.3"	""	""	"76.0"	"84.7"	"39.9"	""	"295.7"	"118.5"	""	""	"48.7"	"92.6"	""	"32477.3683197851"	"1186126.2471801"	""	""	"121758.6953125"	"232939.508849819"	""	"1183950.44238143"	"229166.670124261"	"468282.608551885"	"302624.727100691"	""	""	""	"255065.376806744"	"280854.745171916"	""	""	"212560.459675731"	""	""	"140058.960162407"	"156099.002889571"	"73481.5377039353"	""	"545171.935821734"	"218445.968103548"	""	""	"89768.3107201032"	"170719.391443001"	""	"16389.31640625"	"174417.20703125"	""	""	"121758.6953125"	"38946.69140625"	""	"354373.09375"	"70953.6870117188"	"209161.302734375"	"121583.17578125"	""	""	""	"25775.228515625"	"276095.8984375"	""	""	"63666.85546875"	""	""	"23385.50390625"	"60441.171875"	"16506.748046875"	""	"505136.390625"	"50119.28515625"	""	""	"70103.6328125"	"32307.537109375"	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"2"	""
"-7652692427915398655"	"False"	"High"	"IsMasterProtein"	"Q9H0H5"	"Rac GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=RACGAP1 PE=1 SV=1"	"0.000"	"False"	"7.987"	"4"	"2"	"4"	"2"	"632"	"71.0"	"8.88"	"4.13"	"2"	"0"	""	"1650.8"	"59.9"	""	""	""	"102.1"	""	""	"68.4"	"44.9"	""	""	""	"385.6"	""	""	""	""	""	""	""	""	""	""	"113.6"	"491.6"	""	""	"89.9"	"193.1"	""	""	"2927765.51705045"	"106240.304789237"	""	""	""	"181165.155418996"	""	""	"121311.843136846"	"79675.697929574"	""	""	""	"683909.14213428"	""	""	""	""	""	""	""	""	""	""	"201417.685192065"	"871853.592326952"	""	""	"159449.231666737"	"342549.496330753"	""	""	"430521.359375"	"21475.84375"	""	""	""	"63148.85546875"	""	""	"54184.6796875"	"32010.68359375"	""	""	""	"69111.357421875"	""	""	""	""	""	""	""	""	""	""	"186626.265625"	"200034.265625"	""	""	"124520.2265625"	"64825.26953125"	""	"Not Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"1"	""
"-595188199546753823"	"False"	"High"	"None"	"F8VRD2"	"Rac GTPase-activating protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=RACGAP1 PE=1 SV=8"	"0.000"	"False"	"4.525"	"5"	"1"	"1"	"1"	"293"	"33.2"	"8.87"	"2.01"	"1"	"0"	""	"2374.4"	""	""	""	""	""	""	""	""	""	""	""	""	"348.0"	""	""	""	""	""	""	""	""	""	""	""	"477.5"	""	""	""	""	""	""	"1384863.94784277"	""	""	""	""	""	""	""	""	""	""	""	""	"202981.035587308"	""	""	""	""	""	""	""	""	""	""	""	"278519.925826765"	""	""	""	""	""	""	"203641.140625"	""	""	""	""	""	""	""	""	""	""	""	""	"20511.927734375"	""	""	""	""	""	""	""	""	""	""	""	"63902.390625"	""	""	""	""	""	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"-1441617471648374944"	"False"	"High"	"None"	"H0YIK5"	"Rac GTPase-activating protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=RACGAP1 PE=1 SV=1"	"0.000"	"False"	"4.525"	"6"	"1"	"1"	"1"	"280"	"31.3"	"7.11"	"2.01"	"1"	"0"	""	"2374.4"	""	""	""	""	""	""	""	""	""	""	""	""	"348.0"	""	""	""	""	""	""	""	""	""	""	""	"477.5"	""	""	""	""	""	""	"1384863.94784277"	""	""	""	""	""	""	""	""	""	""	""	""	"202981.035587308"	""	""	""	""	""	""	""	""	""	""	""	"278519.925826765"	""	""	""	""	""	""	"203641.140625"	""	""	""	""	""	""	""	""	""	""	""	""	"20511.927734375"	""	""	""	""	""	""	""	""	""	""	""	"63902.390625"	""	""	""	""	""	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"7560312729267318795"	"False"	"High"	"IsMasterProteinCandidate"	"Q5HYI8"	"Rab-like protein 3 OS=Homo sapiens OX=9606 GN=RABL3 PE=1 SV=1"	"0.001"	"False"	"3.609"	"5"	"1"	"3"	"1"	"236"	"26.4"	"7.11"	"3.78"	"1"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"300553563432343011"	"False"	"High"	"IsMasterProteinCandidate"	"C9JXM3"	"Rab-like protein 3 OS=Homo sapiens OX=9606 GN=RABL3 PE=1 SV=1"	"0.001"	"False"	"3.609"	"5"	"1"	"3"	"1"	"212"	"23.8"	"6.54"	"3.78"	"1"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"-7757356486789808084"	"False"	"High"	"IsMasterProtein"	"F8WF50"	"Rab-like protein 3 OS=Homo sapiens OX=9606 GN=RABL3 PE=1 SV=1"	"0.001"	"False"	"3.609"	"9"	"1"	"3"	"1"	"129"	"14.0"	"7.39"	"3.78"	"1"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"6436271535720758142"	"False"	"High"	"IsMasterProteinCandidate"	"F8WDC7"	"Rab-like protein 3 OS=Homo sapiens OX=9606 GN=RABL3 PE=1 SV=1"	"0.001"	"False"	"3.609"	"8"	"1"	"3"	"1"	"135"	"14.6"	"8.02"	"3.78"	"1"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"8072158693911673850"	"False"	"High"	"IsMasterProteinCandidate"	"F8WAX9"	"Rab-like protein 3 OS=Homo sapiens OX=9606 GN=RABL3 PE=1 SV=1"	"0.001"	"False"	"3.609"	"21"	"1"	"3"	"1"	"53"	"5.6"	"8.02"	"3.78"	"1"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"-1286300215348160168"	"False"	"High"	"IsMasterProteinCandidate"	"H7C533"	"Rab-like protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=RABL3 PE=1 SV=1"	"0.001"	"False"	"3.609"	"21"	"1"	"3"	"1"	"53"	"5.6"	"8.02"	"3.78"	"1"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"2275841125337163472"	"False"	"High"	"None"	"A8MSP2"	"RAB37, member RAS oncogene family, isoform CRA_e OS=Homo sapiens OX=9606 GN=RAB37 PE=1 SV=1"	"0.000"	"False"	"5.052"	"6"	"1"	"1"	"0"	"182"	"20.1"	"5.87"	"2.80"	"1"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3200.0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2440524.17117351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2261300.5"	""	""	""	""	""	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"6"	""
"1685514431276623452"	"False"	"High"	"None"	"A8MTC6"	"RAB37, member RAS oncogene family, isoform CRA_a OS=Homo sapiens OX=9606 GN=RAB37 PE=1 SV=1"	"0.000"	"False"	"5.052"	"6"	"1"	"1"	"0"	"189"	"20.8"	"5.66"	"2.80"	"1"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"3200.0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2440524.17117351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2261300.5"	""	""	""	""	""	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"6"	""
"3876031868592723516"	"False"	"High"	"IsMasterProteinCandidate"	"Q9BXF6"	"Rab11 family-interacting protein 5 OS=Homo sapiens OX=9606 GN=RAB11FIP5 PE=1 SV=1"	"0.000"	"False"	"14.539"	"6"	"3"	"3"	"3"	"653"	"70.4"	"9.23"	"4.70"	"3"	"0"	""	"155.0"	"77.8"	""	"9.5"	""	""	""	"78.6"	""	"504.1"	""	"404.9"	""	"89.4"	"194.0"	""	""	""	"123.0"	"182.3"	""	""	""	""	"495.3"	""	"234.4"	"434.0"	""	""	"217.6"	""	"258734.630215307"	"129790.315412096"	""	"15825.5478515625"	""	""	""	"131213.59622166"	""	"841256.01703977"	""	"675776.033257477"	""	"149123.556540784"	"323715.015356772"	""	""	""	"205263.69745583"	"304219.596482599"	""	""	""	""	"826616.516050181"	""	"391206.13098642"	"724301.199817384"	""	""	"363107.207786917"	""	"38046.34765625"	"26236.337890625"	""	"15825.5478515625"	""	""	""	"40625.83984375"	""	"337984.8671875"	""	"186164.8125"	""	"15069.4453125"	"318229.9375"	""	""	""	"38629.23828125"	"111124.224609375"	""	""	""	""	"765912.65234375"	""	"268145.09375"	"452334.75"	""	""	"47868.18359375"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"1"	""
"-3993407581508725045"	"False"	"High"	"IsMasterProtein"	"A0A1B0GTL5"	"Rab11 family-interacting protein 5 OS=Homo sapiens OX=9606 GN=RAB11FIP5 PE=1 SV=1"	"0.000"	"False"	"14.539"	"3"	"3"	"3"	"3"	"1324"	"138.3"	"5.21"	"4.70"	"3"	"0"	""	"155.0"	"77.8"	""	"9.5"	""	""	""	"78.6"	""	"504.1"	""	"404.9"	""	"89.4"	"194.0"	""	""	""	"123.0"	"182.3"	""	""	""	""	"495.3"	""	"234.4"	"434.0"	""	""	"217.6"	""	"258734.630215307"	"129790.315412096"	""	"15825.5478515625"	""	""	""	"131213.59622166"	""	"841256.01703977"	""	"675776.033257477"	""	"149123.556540784"	"323715.015356772"	""	""	""	"205263.69745583"	"304219.596482599"	""	""	""	""	"826616.516050181"	""	"391206.13098642"	"724301.199817384"	""	""	"363107.207786917"	""	"38046.34765625"	"26236.337890625"	""	"15825.5478515625"	""	""	""	"40625.83984375"	""	"337984.8671875"	""	"186164.8125"	""	"15069.4453125"	"318229.9375"	""	""	""	"38629.23828125"	"111124.224609375"	""	""	""	""	"765912.65234375"	""	"268145.09375"	"452334.75"	""	""	"47868.18359375"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"High"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"High"	"Not Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"1"	""
"-7115518498253705312"	"False"	"High"	"None"	"G5E9U5"	"Rab GDP dissociation inhibitor OS=Homo sapiens OX=9606 GN=GDI1 PE=1 SV=1"	"0.006"	"False"	"2.506"	"6"	"1"	"2"	"1"	"147"	"16.5"	"5.34"	"1.64"	"1"	"0"	""	""	""	""	""	"493.0"	""	""	"154.2"	""	""	"635.8"	"901.8"	""	"63.7"	""	"191.0"	""	""	"249.7"	""	""	""	""	""	""	""	""	"510.9"	""	""	""	""	""	""	""	""	"1196685.87525698"	""	""	"374212.027240652"	""	""	"1543219.64518418"	"2189093.29637247"	""	"154507.939913432"	""	"463531.186438105"	""	""	"606130.165185638"	""	""	""	""	""	""	""	""	"1240135.00946151"	""	""	""	""	""	""	""	""	"200081.796875"	""	""	"115862.0625"	""	""	"289935.40625"	"603058"	""	"15613.5556640625"	""	"197227.265625"	""	""	"114069.59375"	""	""	""	""	""	""	""	""	"774479.125"	""	""	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
"6718063858029524947"	"False"	"High"	"IsMasterProtein"	"P50395"	"Rab GDP dissociation inhibitor beta OS=Homo sapiens OX=9606 GN=GDI2 PE=1 SV=2"	"0.000"	"False"	"11.028"	"7"	"3"	"5"	"3"	"445"	"50.6"	"6.47"	"8.03"	"3"	"0"	"98.2"	""	""	"441.5"	"33.1"	"105.5"	""	"248.3"	"77.6"	"85.9"	"45.1"	"237.6"	"312.4"	"410.2"	"13.6"	""	"40.9"	"181.6"	"100.5"	"53.5"	""	""	"32.4"	"84.9"	"143.1"	""	""	""	"160.5"	""	"115.4"	"178.1"	"1113106.54703841"	""	""	"5006590.97903339"	"375883.875"	"1196685.87525698"	""	"2815360.03023115"	"879466.584513356"	"974033.191352795"	"510897.990393698"	"2693786.68748328"	"3542195.25432139"	"4651618.3248731"	"154507.939913432"	""	"463531.186438105"	"2059306.29071585"	"1139558.49349634"	"606130.165185638"	""	""	"367515.276049179"	"963179.440596347"	"1622599.45125901"	""	""	""	"1819913.9532438"	""	"1308648.97943784"	"2020028.31665987"	"561715.9375"	""	""	"326245.8125"	"375883.875"	"200081.796875"	""	"842677.03125"	"272297"	"435057.90625"	"205259.5"	"506100.4375"	"975814.59375"	"315598.0625"	"15613.5556640625"	""	"197227.265625"	"385481.84375"	"341324.5625"	"114069.59375"	""	""	"142301.0625"	"216366.734375"	"169308.796875"	""	""	""	"1136558"	""	"247653.328125"	"266299"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"High"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"High"	"Peak Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Peak Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Peak Found"	"1"	""
"-5359713146649655482"	"False"	"High"	"None"	"P31150"	"Rab GDP dissociation inhibitor alpha OS=Homo sapiens OX=9606 GN=GDI1 PE=1 SV=2"	"0.006"	"False"	"2.506"	"2"	"1"	"2"	"1"	"447"	"50.6"	"5.14"	"1.64"	"1"	"0"	""	""	""	""	""	"493.0"	""	""	"154.2"	""	""	"635.8"	"901.8"	""	"63.7"	""	"191.0"	""	""	"249.7"	""	""	""	""	""	""	""	""	"510.9"	""	""	""	""	""	""	""	""	"1196685.87525698"	""	""	"374212.027240652"	""	""	"1543219.64518418"	"2189093.29637247"	""	"154507.939913432"	""	"463531.186438105"	""	""	"606130.165185638"	""	""	""	""	""	""	""	""	"1240135.00946151"	""	""	""	""	""	""	""	""	"200081.796875"	""	""	"115862.0625"	""	""	"289935.40625"	"603058"	""	"15613.5556640625"	""	"197227.265625"	""	""	"114069.59375"	""	""	""	""	""	""	""	""	"774479.125"	""	""	""	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"High"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"High"	"Not Found"	"Peak Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Not Found"	"Peak Found"	"Not Found"	"Not Found"	"Not Found"	"1"	""
