Accession,gene
O75223,GGCT
B5MCF9,PES1
Q8WVM8,SCFD1
P61513,RPL37A
P62942,FKBP1A
P54819,AK2
Q9H3N1,TMX1
P20340,RAB6A
H0Y3P2,EIF4G2
P16278,GLB1
Q86X55,CARM1
O60216,RAD21
Q13564,NAE1
Q5JTZ9,AARS2
Q9P0J0,NDUFA13
A0A087X0K9,TJP1
O14617,AP3D1
O14787,TNPO2
Q14966,ZNF638
Q9UK45,LSM7
Q15785,TOMM34
O14976,GAK
Q15642,TRIP10
Q8IV08,PLD3
A0A024RCR6,BAG6
P30085,CMPK1
Q9NZB2,FAM120A
R4GMR5,PSMD8
Q9NR45,NANS
P16219,ACADS
Q15121,PEA15
P55327,TPD52
Q86TX2,ACOT1
O94973,AP2A2
A0A087WZK9,EIF3H
P62633,CNBP
A0A6I8PU89,DNAJC7
P61081,UBE2M
Q99471,PFDN5
P12081,HARS1
O75746,SLC25A12
O60749,SNX2
O60884,DNAJA2
Q9UHB9,SRP68
P14927,UQCRB
P43897,TSFM
O15355,PPM1G
Q14692,BMS1
Q5TEC6,H3-2
O15143,ARPC1B
Q7Z2K6,ERMP1
P48681,NES
Q8NEJ9,NGDN
Q7Z2T5,TRMT1L
Q92973,TNPO1
Q96EY1,DNAJA3
P61960,UFM1
P62304,SNRPE
Q96AB3,ISOC2
P35610,SOAT1
F8W8A6,HIBCH
P35251,RFC1
Q9UBB4,ATXN10
O00566,MPHOSPH10
Q8IX12,CCAR1
P07919,UQCRH
Q5RKV6,EXOSC6
M0QXN5,NUP62
Q9NW13,RBM28
O43395,PRPF3
A0A087WU03,HNRNPDL
Q92520,FAM3C
P58546,MTPN
Q9H7Z7,PTGES2
O43765,SGTA
Q16762,TST
O75822,EIF3J
P53007,SLC25A1
P24666,ACP1
P14735,IDE
X6R3N0,SLC27A3
A0A1B0GVH5,FTO
Q68E01,INTS3
Q96TC7,RMDN3
A0A2R8Y6Y7,SUCLA2
Q9NP92,MRPS30
P35080,PFN2
Q8IWA0,WDR75
E9PQ61,ZC3H11A
E9PP21,CSRP1
P10606,COX5B
Q9Y295,DRG1
O75534,CSDE1
Q02338,BDH1
P08754,GNAI3
A0A087WW65,ABCB7
Q96GC9,VMP1
Q9Y2A7,NCKAP1
O00273,DFFA
Q09161,NCBP1
Q9UJY5,GGA1
Q10570,CPSF1
Q8IYD1,GSPT2
Q9NTZ6,RBM12
Q8WUA4,GTF3C2
Q9H8H0,NOL11
P08559,PDHA1
P52926,HMGA2
Q14CN4,KRT72
H0Y368,DPM1
Q5JR08,RHOC
O43488,AKR7A2
Q86WA6,BPHL
Q9NQZ2,UTP3
Q9H2P0,ADNP
Q9H845,ACAD9
A0A0G2JQH2,RPS18
D6RBW1,EIF4E
Q49AN9,SNRPG
A0A3B3IUA7,TRIM25
Q15269,PWP2
Q9BRX8,PRXL2A
E9PQ57,RAE1
Q969H8,MYDGF
H9KV45,UBE2D3
Q9Y3Z3,SAMHD1
Q6NXG1,ESRP1
Q9Y5K5,UCHL5
P04114,APOB
O00233,PSMD9
Q9UBV8,PEF1
Q7Z7H5,TMED4
Q9BVJ6,UTP14A
Q13442,PDAP1
Q9NTJ3,SMC4
Q9Y512,SAMM50
Q9NQR4,NIT2
C9JKZ2,NUCB1
Q96T60,PNKP
A0A2R8Y595,CTCF
O95071,UBR5
P35914,HMGCL
H0YKD8,RPL28
O94905,ERLIN2
Q5T4S7,UBR4
Q5T091,RER1
A0A494C0R8,CLUH
P26885,FKBP2
Q14527,HLTF
P21926,CD9
A6NNK5,TP53BP1
O00115,DNASE2
E9PK52,EPB41L2
A0A0A0MQX8,MBNL1
Q15833,STXBP2
Q99627,COPS8
Q12788,TBL3
P59998,ARPC4
P21912,SDHB
O95347,SMC2
B7WP74,CWC22
Q12996,CSTF3
Q86U38,NOP9
Q9BX68,HINT2
P49023,PXN
C9J1V9,EEF1E1-BLOC1S5
P35237,SERPINB6
H7C003,PPP1R7
Q15369,ELOC
H3BLV9,SRPK1
Q92542,NCSTN
Q14651,PLS1
Q9P1F3,ABRACL
O95470,SGPL1
Q9BTC0,DIDO1
P55081,MFAP1
D6RAX7,COPS4
P68402,PAFAH1B2
M0R2B7,POLD1
Q8TCS8,PNPT1
A0A1W2PRF6,SCARB2
P09234,SNRPC
Q96M27,PRRC1
Q5T1J5,CHCHD2P9
Q9H3K6,BOLA2
Q9H0C8,ILKAP
Q9Y5M8,SRPRB
P49006,MARCKSL1
Q15843,NEDD8
F5H658,DHX8
O60828,PQBP1
P46977,STT3A
O75381,PEX14
O95816,BAG2
Q99848,EBNA1BP2
P51116,FXR2
I3L0A0,TMEM189-UBE2V1
Q99808,SLC29A1
M0QY97,ZC3H4
P98175,RBM10
Q99598,TSNAX
Q9Y6V7,DDX49
Q8WXX5,DNAJC9
Q9NZZ3,CHMP5
P28331,NDUFS1
P56545,CTBP2
O15145,ARPC3
P62312,LSM6
Q92878,RAD50
P35250,RFC2
Q9GZL7,WDR12
P26447,S100A4
O96005,CLPTM1
E9PRG8,C11orf98
A0A499FJY3,RBM15
P00918,CA2
Q9UMX5,NENF
E9PK47,PYGL
Q32MZ4,LRRFIP1
Q9UKN8,GTF3C4
O43464,HTRA2
P60468,SEC61B
Q15437,SEC23B
K7EIR0,WDR18
O15269,SPTLC1
P14854,COX6B1
Q9UBF2,COPG2
Q8WY22,BRI3BP
P13647,KRT5
Q9Y305,ACOT9
Q5SZE1,CERS2
P48444,ARCN1
O43172,PRPF4
H3BV90,CIAPIN1
A0A140T9R1,FLOT1
E9PAV9,GPATCH4
J3QTA6,CHCHD6
Q8IXM3,MRPL41
O60568,PLOD3
A0A3B3IS71,RB1
F5H345,HMBS
Q9HB40,SCPEP1
F5H157,RAB35
C9J4M6,POLR2B
Q8NFU3,TSTD1
Q8TBX8,PIP4K2C
P52888,THOP1
J3KR97,TBCD
B4DZG7,ARL1
P10644,PRKAR1A
Q92733,PRCC
Q8WYA6,CTNNBL1
Q9Y6B6,SAR1B
Q96KQ7,EHMT2
O43747,AP1G1
P84095,RHOG
A0A087WZ51,TPD52L2
A0A0A0MTB8,WDR36
Q9NQ29,LUC7L
Q14677,CLINT1
K7EQA1,PDCD5
Q8TEA8,DTD1
Q96HY6,DDRGK1
P51553,IDH3G
P51649,ALDH5A1
Q96IX5,ATP5MD
Q9UBD5,ORC3
Q9BW72,HIGD2A
P54920,NAPA
P22223,CDH3
P51970,NDUFA8
P82673,MRPS35
H0Y742,SUN1
A6NDG6,PGP
P60983,GMFB
Q4VC31,CCDC58
Q9Y6E2,BZW2
Q9HCS7,XAB2
Q5QPM7,PSMF1
E9PHI6,DYNC1LI1
Q15274,QPRT
A0A087WX39,EPS8L2
Q9UHQ9,CYB5R1
H7BXY3,DHX30
Q9P287,BCCIP
A0A494C0X0,TBCB
Q7Z7H8,MRPL10
P63165,SUMO1
Q9UBQ7,GRHPR
D6RIC3,NOP16
O95674,CDS2
E5RJD2,DECR1
Q15651,HMGN3
Q7Z2W9,MRPL21
P06132,UROD
P49458,SRP9
Q7L0Y3,TRMT10C
B5MC98,PREB
Q96ER9,CCDC51
Q9Y237,PIN4
Q96S66,CLCC1
Q9Y520,PRRC2C
M0QXD6,GTF2F1
O00165,HAX1
O43252,PAPSS1
Q5JWF2,GNAS
O00264,PGRMC1
P02768,ALB
O60256,PRPSAP2
Q92541,RTF1
O95716,RAB3D
O14773,TPP1
Q9P0S9,TMEM14C
G3V325,ATP5MF-PTCD1
P61201,COPS2
O43823,AKAP8
Q9P015,MRPL15
Q7Z5L9,IRF2BP2
P24928,POLR2A
Q9NY61,AATF
Q9BYT8,NLN
Q9H6I2,SOX17
A0A2R8Y4Y7,SPG7
Q9Y5L4,TIMM13
Q9HBH5,RDH14
Q9UHV9,PFDN2
P52294,KPNA1
P61011,SRP54
P09669,COX6C
Q9HCN8,SDF2L1
O43347,MSI1
J3KQ48,PTRH2
Q13769,THOC5
Q9UNS2,COPS3
O60784,TOM1
Q9P2I0,CPSF2
Q8NFF5,FLAD1
Q9NVV0,TMEM38B
C9JAW5,4 SV
Q96N66,MBOAT7
Q9NRF9,POLE3
P55010,EIF5
Q9H488,POFUT1
Q92734,TFG
Q6DKI1,RPL7L1
H0Y8C4,PPP2R5D
O95777,LSM8
Q9H8Y8,GORASP2
Q9UI12,ATP6V1H
Q6P1A2,LPCAT3
Q5QPQ0,LYPLA2
U3KPZ7,1 SV
Q9Y570,PPME1
Q8IZP0,ABI1
Q9Y2S7,POLDIP2
Q99496,RNF2
H0YK99,DNAJC17
Q69YN2,CWF19L1
P08651,NFIC
Q7KZN9,COX15
Q9Y3D9,MRPS23
G5E9D5,ELAC2
Q8WX93,PALLD
Q6IAA8,LAMTOR1
F6WIT2,PTPA
Q9H299,SH3BGRL3
Q9Y4E8,USP15
Q07960,ARHGAP1
P41567,EIF1
O75306,NDUFS2
Q96HR8,NAF1
C9J8H1,ATP6V1E1
Q9BRA2,TXNDC17
Q16555,DPYSL2
R4GMQ1,KDM1A
E5RGR0,LYPLA1
P33176,KIF5B
D6RAA6,TMEM33
Q5JVF3,PCID2
P20645,M6PR
Q8N201,INTS1
P18077,RPL35A
Q9Y3C4,TPRKB
P15586,GNS
Q5QPR4,CDK11A
Q9UJY4,GGA2
P62273,RPS29
D6R9M0,KIF2A
A0A0A6YYA0,TMED7-TICAM2
Q3SXM5,HSDL1
P61086,UBE2K
Q9NZL9,MAT2B
A0A0B4J1V8,PPAN-P2RY11
Q9HD45,TM9SF3
C9IZG4,CUTA
O43504,LAMTOR5
P51153,RAB13
Q13045,FLII
O75976,CPD
P24941,CDK2
Q9BXY0,MAK16
Q5JR04,MOV10
Q6P2E9,EDC4
O75663,TIPRL
P20338,RAB4A
Q6ZMG9,CERS6
Q9BV79,MECR
Q9BZK7,TBL1XR1
H0YNE9,RAB8B
P50570,DNM2
Q9BZ95,NSD3
I3L3N0,SRR
Q99988,GDF15
J3KP30,DNTTIP2
E9PE17,MRPS17
Q8WXH0,SYNE2
P11172,UMPS
Q9BWQ6,YIPF2
Q9BQE5,APOL2
H0YJV7,YY1
H3BT54,FANCI
A0A087WVZ9,POLR2E
O75940,SMNDC1
A0A1W2PNX8,UNC45A
K7EMM8,GLYR1
Q8TAT6,NPLOC4
E9PMI6,CLNS1A
Q9NQG5,RPRD1B
Q96TA1,NIBAN2
Q92504,SLC39A7
A0A2R8Y7W5,CDK13
Q9NSU2,TREX1
Q96HQ2,CDKN2AIPNL
P35249,RFC4
P49207,RPL34
P29966,MARCKS
E9PPY3,RRP8
Q6P587,FAHD1
Q52LJ0,FAM98B
Q9Y3Q3,TMED3
Q16775,HAGH
A0A087WY03,SREK1
Q15022,SUZ12
M0QXM4,SLC1A5
P30626,SRI
Q9UJU6,DBNL
Q9HAV4,XPO5
A0A087X0R7,SENP3-EIF4A1
Q5T760,SRSF11
P17302,GJA1
O43598,DNPH1
Q15007,WTAP
A0A087WTB8,UCHL3
H3BT06,PMM2
Q9H1B7,IRF2BPL
Q9Y320,TMX2
P27449,ATP6V0C
Q8WTT2,NOC3L
F8VQR7,CSRP2
H0YMH7,CTDSPL2
Q5TBP9,LSM14B
O43583,DENR
P62861,FAU
P43034,PAFAH1B1
A0A087WWU9,SRP19
Q9UJX3,ANAPC7
Q2TAA2,IAH1
Q92900,UPF1
Q9UI30,TRMT112
D6RG15,TWF2
Q9Y3A6,TMED5
P63313,TMSB10
Q92665,MRPS31
H0YNG3,SEC11A
P53582,METAP1
Q7Z4H8,POGLUT3
O95400,CD2BP2
Q9UBV2,SEL1L
Q13126,MTAP
D6RGZ2,THOC3
P10619,CTSA
Q96BK5,PINX1
Q08752,PPID
A0A0D9SEM4,SRSF4
Q9H773,DCTPP1
O43264,ZW10
P36507,MAP2K2
P62310,LSM3
A0A087X0L7,OXA1L
Q14690,PDCD11
O75348,ATP6V1G1
P10109,FDX1
Q8IVD9,NUDCD3
Q92575,UBXN4
Q96QC0,PPP1R10
A0A182DWF2,TXNRD2
Q9H1E3,NUCKS1
Q9NVH1,DNAJC11
A0A0C4DFX9,NELFA
Q9Y2V2,CARHSP1
M0R3F6,SUGP2
P46109,CRKL
Q9BYN8,MRPS26
Q5BKZ1,ZNF326
P62070,RRAS2
K7ERE1,TMEM256-PLSCR3
Q8WWM7,ATXN2L
Q6DKJ4,NXN
Q8WYP5,AHCTF1
Q96T76,MMS19
Q99504,EYA3
Q9UM00,TMCO1
U3KQB0,POLR2F
Q9BW60,ELOVL1
A0A1W2PSE7,HLA-A
Q9H3P7,ACBD3
Q01082,SPTBN1
Q9NXF1,TEX10
O95456,PSMG1
Q86XP3,DDX42
Q14676,MDC1
Q9H4L7,SMARCAD1
Q96DA6,DNAJC19
K7EIE8,MBD3
F8WCN3,CKMT1A
P78318,IGBP1
A0A3B3ITD8,NUP98
Q8IZ83,ALDH16A1
P11166,SLC2A1
Q9UJX2,CDC23
B1AKR6,DYNLRB1
O15160,POLR1C
Q13177,PAK2
Q13085,ACACA
M0R165,EPS15L1
Q9H6F5,CCDC86
Q9Y5X3,SNX5
Q9UJA5,TRMT6
O75323,NIPSNAP2
Q96F86,EDC3
Q9NPF4,OSGEP
Q02750,MAP2K1
Q9UBQ5,EIF3K
A0A3B3ISS6,GPNMB
Q13098,GPS1
Q9NYP7,ELOVL5
P02765,AHSG
X6RGP5,SEC16A
A0A096LP69,CD99
Q9UGP8,SEC63
Q8N4V1,MMGT1
P10253,GAA
Q9Y5K6,CD2AP
P61009,SPCS3
A0A0J9YXS4,APOO
H0YLF5,PBX1
A0A087WX59,ADRM1
M0R257,RAB3A
P11137,MAP2
O60271,SPAG9
Q99797,MIPEP
Q9UL25,RAB21
Q96C90,PPP1R14B
H0YI92,LIN7A
P56385,ATP5ME
P12429,ANXA3
P19387,POLR2C
Q13601,KRR1
P17655,CAPN2
O60563,CCNT1
O00754,MAN2B1
Q96AY3,FKBP10
H3BND4,PDXDC1
A5YKK6,CNOT1
C9J5D1,NAA50
A0A2Y9D025,NDUFA6
P18887,XRCC1
Q68D90,USP10
A0A0G2JLB3,GBA
O43633,CHMP2A
Q9H7B2,RPF2
Q96P48,ARAP1
Q9P0J1,PDP1
I3L297,CRK
P36405,ARL3
Q13123,IK
Q92747,ARPC1A
Q92667,AKAP1
Q16718,NDUFA5
A0A087WXB0,SCAMP1
G3V4E4,LGMN
A0A0A0MRM8,MYO6
O15270,SPTLC2
P51688,SGSH
P52789,HK2
A0A0A0MTJ9,NCEH1
Q7KZ85,SUPT6H
F8W145,CNOT2
H0Y4Y4,EFHD2
O60287,URB1
A0A2R8Y5P7,HARS2
Q9NXH9,TRMT1
Q07812,BAX
Q9Y2U8,LEMD3
Q9BWJ5,SF3B5
A0A087WUD3,OSTC
A2AB88,PFDN6
Q96SK2,TMEM209
P00395,MT-CO1
K7ENW4,NACC1
A0A669KB89,SCRIB
A0A1W2PP10,VPS35
J3KSI8,MRPS7
Q96CW1,AP2M1
P05204,HMGN2
K7ES22,ASF1B
Q96CN7,ISOC1
Q9Y3B7,MRPL11
P09601,HMOX1
Q96KB5,PBK
Q8NI27,THOC2
Q16864,ATP6V1F
A0A2R8Y4M1,CLIC5
O14874,BCKDK
Q8NB90,SPATA5
Q99757,TXN2
Q9UKF6,CPSF3
Q9NQW7,XPNPEP1
P49903,SEPHS1
Q15126,PMVK
O14974,PPP1R12A
Q8NFH4,NUP37
E9PFH4,TNPO3
Q96HC4,PDLIM5
Q99614,TTC1
P62072,TIMM10
P61758,VBP1
Q8N7H5,PAF1
C9J719,EBP
Q8TBC4,UBA3
Q8N5N7,MRPL50
Q9H444,CHMP4B
E9PF16,ACSF2
P11182,DBT
P78386,KRT85
P62993,GRB2
P62745,RHOB
H0Y5K5,ERGIC3
H0Y7L6,SP3
P18859,ATP5PF
Q9Y3B9,RRP15
O60783,MRPS14
H0YB99,PTK2
Q9NVH0,EXD2
Q96HY7,DHTKD1
A0A0A0MT83,IVD
Q9NY27,PPP4R2
H3BQV3,COG8
Q96JJ7,TMX3
C9J2Q2,ATPAF2
Q5TFE4,NT5DC1
O43865,AHCYL1
P82932,MRPS6
D6RCB6,RIOX2
Q96G97,BSCL2
A2A2L5,RTF2
Q9P2R3,ANKFY1
J3KQN4,RPL36A
D6RIZ4,MFSD10
Q96F07,CYFIP2
Q9NY12,GAR1
P54132,BLM
Q9Y5J1,UTP18
Q13206,DDX10
Q96GC5,MRPL48
Q15075,EEA1
Q9NRX2,MRPL17
O15427,SLC16A3
Q9BT67,NDFIP1
Q5JTJ3,COA6
Q9P032,NDUFAF4
H0YIC9,PRKAG1
A0A2R8Y880,RBBP6
P56270,MAZ
O76031,CLPX
Q9BWD1,ACAT2
Q13557,CAMK2D
A0A087WXM8,BCAM
E9PKP7,UBTF
Q9UFN0,NIPSNAP3A
Q96I63,YME1L1
Q15043,SLC39A14
H3BVC8,PRSS8
P60059,SEC61G
Q9H2M9,RAB3GAP2
C9J164,RAPH1
P17050,NAGA
Q8WVM7,STAG1
Q16795,NDUFA9
F5GXX5,DAD1
Q15404,RSU1
Q9NVT9,ARMC1
P11216,PYGB
P82933,MRPS9
C9JA28,SSR3
F6T1Q0,PDE12
O15511,ARPC5
Q9NQ50,MRPL40
O95926,SYF2
P82650,MRPS22
P53367,ARFIP1
H0YKU1,TMOD3
Q5H919,HTATSF1
E9PRZ1,SAAL1
P00492,HPRT1
Q9UDW1,UQCR10
A0A087X0M4,SLC4A1AP
Q9Y4W2,LAS1L
A0A3B3IU42,GEMIN2
G5E9X3,FNDC3A
A6NHR9,SMCHD1
F8WC64,GTF3C3
Q92925,SMARCD2
Q96T23,RSF1
A0A2R8Y855,SMARCE1
Q9UGV2,NDRG3
Q9C005,DPY30
P78362,SRPK2
Q15645,TRIP13
C9JND6,PDCD10
Q9P003,CNIH4
Q99943,AGPAT1
Q01831,XPC
Q9Y3B4,SF3B6
Q9BV20,MRI1
Q8N766,EMC1
Q15006,EMC2
P54802,NAGLU
Q13158,FADD
O95817,BAG3
P62891,RPL39
A8MU27,SUMO3
P12931,SRC
Q5W0Y9,NFIB
Q9ULK4,MED23
H0Y3T6,SDF4
E9PQY2,PFDN4
P36551,CPOX
O75717,WDHD1
Q15654,TRIP6
Q9UGI8,TES
Q9C0J8,WDR33
Q9BSC4,NOL10
Q14573,ITPR3
A0A087X211,CIP2A
K7EN32,ECSIT
Q9P0J7,KCMF1
Q96HV5,TMEM41A
P61221,ABCE1
O75251,NDUFS7
Q15375,EPHA7
Q99959,PKP2
Q8N1B4,VPS52
P41223,BUD31
Q7RTV0,PHF5A
K7EKI8,PPL
F8WFC6,LSG1
Q8IXI1,RHOT2
G3V599,MIA2
J3QR07,YTHDC1
Q9Y3D3,MRPS16
A0A5F9ZHB6,PRIM1
Q13619,CUL4A
Q14139,UBE4A
O95684,CEP43
Q9BVM2,DPCD
Q9NW64,RBM22
M0QXB5,ETHE1
A0A087WXK2,PEG10
A0A286YFD6,RRM2
Q9Y2R4,DDX52
O95182,NDUFA7
Q9BTZ2,DHRS4
Q5T280,SPOUT1
K7EQH1,C18orf25
Q9C0C9,UBE2O
Q13823,GNL2
P61457,PCBD1
B8ZZV5,MRPL30
Q9NR50,EIF2B3
Q96P16,RPRD1A
A8MZI4,RAB37
Q5ZPR3,CD276
Q9NXE4,SMPD4
S4R347,FNBP1L
F8VXU5,VPS29
B7Z7F3,RANBP3
H0Y7B8,GOLGA2
O00483,NDUFA4
X6R674,IVNS1ABP
Q9NPE3,NOP10
P41208,CETN2
Q9UHI6,DDX20
Q8NAV1,PRPF38A
D6RD44,TCEAL4
Q8WVV9,HNRNPLL
E7EPM6,ACSL1
Q9H061,TMEM126A
Q9C0E2,XPO4
S4R3V3,YTHDF2
F8W8D3,SLBP
Q9NQH7,XPNPEP3
Q9Y3T9,NOC2L
O00186,STXBP3
P19623,SRM
Q8WUK0,PTPMT1
Q5T440,IBA57
O15446,POLR1G
F5H5P2,3 SV
Q8NBU5,ATAD1
A0A087WY55,VTA1
Q9H008,LHPP
Q9NX20,MRPL16
Q15392,DHCR24
Q5TIG5,AFDN
H3BPJ9,NDUFB10
D6RCB9,NHP2
K7ERP6,PRKACA
P06865,HEXA
P49902,NT5C2
Q96EH3,MALSU1
P78316,NOP14
Q6PD62,CTR9
P56182,RRP1
A0A0C4DFM1,TM9SF4
H0Y9G5,WFS1
Q7Z4Q2,HEATR3
Q99720,SIGMAR1
F5GYT8,MCCC1
O94874,UFL1
Q9BV40,VAMP8
Q9H0U3,MAGT1
Q96HR9,REEP6
P23919,DTYMK
Q96CT7,CCDC124
Q71RC2,LARP4
Q9NP66,HMG20A
Q9Y5Y2,NUBP2
Q27J81,INF2
G5E9F5,MPV17
Q8TC12,RDH11
H0YIY8,PPP4R3A
X6RIL1,MTARC1
Q8N5K1,CISD2
P17661,DES
F8W038,C17orf49
Q969P0,IGSF8
Q13405,MRPL49
A0A3B3IUC4,GLA
A0A0A6YY92,ADSL
F8WBJ6,PNO1
H3BNK3,NDUFAB1
Q96JB2,COG3
Q99735,MGST2
A3KFL1,EXOSC2
Q08AM6,VAC14
P56589,PEX3
A0A2R8Y658,RNASEH2A
X6RAJ1,AKAP17A
Q8IXB1,DNAJC10
Q9NV31,IMP3
A0A024R571,EHD1
F8WCH6,SLC25A17
F8VQX7,OSBPL8
Q9Y4C8,RBM19
Q9UJY1,HSPB8
C9JPI5,PBRM1
K7ENK9,VAMP2
Q96EL2,MRPS24
D6RG39,OCIAD1
Q6UXN9,WDR82
A0A590UJ50,CUL1
Q9GZP8,IMUP
C9J647,SMPD4
O00743,PPP6C
H7BXG7,SEC31A
Q15648,MED1
Q5SRR8,DDAH2
Q9UPQ8,DOLK
Q6ZRP7,QSOX2
A0A3B3ITK7,PGM1
P42785,PRCP
P13473,LAMP2
Q9BXR0,QTRT1
B7Z2U2,TOM1L2
A0A0B4J2A0,1 SV
E9PRY2,SLC35F2
Q9Y6E0,STK24
P82675,MRPS5
P82663,MRPS25
P06756,ITGAV
E9PFT6,HBD
A0A2R8Y653,UCK2
C9J384,CMSS1
Q8WYH8,ING5
F8WCU9,ARID2
Q9BV86,NTMT1
Q9BSH4,TACO1
O15020,SPTBN2
Q8ND82,ZNF280C
E9PPI9,EXOSC4
Q14146,URB2
Q9H6T0,ESRP2
I3L352,DDX19A
Q96DV4,MRPL38
Q9UIJ7,AK3
Q92917,GPKOW
O15235,MRPS12
Q86SX6,GLRX5
H0YBP8,CHRAC1
Q9Y450,HBS1L
O14745,SLC9A3R1
Q69YN4,VIRMA
Q2NL82,TSR1
P62877,RBX1
O75600,GCAT
Q9C0D9,SELENOI
Q9HC36,MRM3
O14569,CYB561D2
Q7Z3B4,NUP54
Q96E11,MRRF
O96013,PAK4
Q8N1G2,CMTR1
Q5VU11,RPP30
O00151,PDLIM1
Q15418,RPS6KA1
O00479,HMGN4
Q9BQ15,NABP2
Q5SRE5,NUP188
A0A0G2JIC6,MRPS18B
A0A087WU07,MICOS10
O94925,GLS
B1ALG6,HELLS
A0A0U1RQD1,TIGAR
B4DKY1,CARS1
Q6WKZ4,RAB11FIP1
Q8N4A0,GALNT4
B3KVN2,FNTA
H3BU93,PSME3IP1
E9PRZ9,C11orf58
O00443,PIK3C2A
J3KRC4,NT5C
F5H7R9,PTMS
F8WDV0,IPO11
O94903,PLPBP
P28482,MAPK1
Q8N3U4,STAG2
Q96GQ7,DDX27
F8VWW8,SMPDL3B
Q9H019,MTFR1L
Q9P2W9,STX18
Q5VTR2,RNF20
Q9BVC6,TMEM109
O95478,NSA2
Q9UPN6,SCAF8
P62330,ARF6
H3BUB6,SCAMP2
Q9NW08,POLR3B
Q9Y619,SLC25A15
Q9BSH5,HDHD3
A0A494C0F8,ELAVL4
A0A5F9ZI63,EED
Q8NFH5,NUP35
E9PC15,AGK
Q9NY93,DDX56
Q9HD33,MRPL47
F5H4N4,PXMP2
A0A1W2PPB7,KIDINS220
P05496,ATP5MC1
H3BTK5,SENP8
Q9NVV4,MTPAP
O95793,STAU1
A0A1W2PNP0,PIGT
E7EPT4,NDUFV2
C9JAL9,ASPSCR1
Q9BUA3,SPINDOC
Q12792,TWF1
J3QLR6,FLII
C9JVE2,DCUN1D1
Q9BUH6,PAXX
Q9UNL4,ING4
J3QRU7,BLOC1S2
Q9UKJ3,GPATCH8
O00267,SUPT5H
P04004,VTN
C9JFA7,GPD1L
Q9NRK6,ABCB10
O43678,NDUFA2
E9PRJ8,CD81
Q15631,TSN
H0Y9X1,TMA16
Q9BTY7,HGH1
Q13492,PICALM
H0YB38,BPNT2
J3QQV6,PNPO
A6NMQ1,POLA1
O00461,GOLIM4
Q9UBL3,ASH2L
O60502,OGA
Q8WUY1,THEM6
Q9NPA8,ENY2
Q96NX8,STX16
Q9NZW5,MPP6
C9JVN9,L2HGDH
Q9NPA0,EMC7
Q9NYV4,CDK12
Q86SK9,SCD5
A0A0U1RRK1,MICU1
E9PNK5,RELA
Q6NUQ1,RINT1
O75436,VPS26A
Q5R3B4,MPC2
F5H4Z7,MMAB
F8VWK8,CD63
Q9NRV9,HEBP1
O14925,TIMM23
Q99543,DNAJC2
Q7Z2Z2,EFL1
P49005,POLD2
P04066,FUCA1
Q9UNH7,SNX6
Q96A35,MRPL24
Q96P11,NSUN5
F5GWH5,TMEM258
Q9H0U9,TSPYL1
P63146,UBE2B
I3L4I0,FLYWCH2
Q5TCT4,RBM34
E7EW05,SDAD1
Q9H078,CLPB
Q13015,MLLT11
P61769,B2M
Q6PL18,ATAD2
Q9UHY7,ENOPH1
Q15629,TRAM1
P09001,MRPL3
P23610,F8A1
P15291,B4GALT1
Q9C037,TRIM4
P01116,KRAS
P11802,CDK4
Q6P3X3,TTC27
A0A087WZK0,DHPS
B1AHL2,FBLN1
E7EM64,COPS6
Q14781,CBX2
Q5C9Z4,NOM1
Q5T7U1,GTF3C5
G5EA31,SEC24C
Q9BQA1,WDR77
O14908,GIPC1
Q13901,C1D
A0A140T947,DHX16
O15294,OGT
Q6PKG0,LARP1
O75391,SPAG7
O95251,KAT7
F5H5T6,3 SV
A0A494C0D4,PPOX
C9JIZ6,PSAP
Q13444,ADAM15
Q13057,COASY
P13498,CYBA
P02649,APOE
Q9NPH0,ACP6
Q2M2I5,KRT24
K7ESQ2,SPC24
Q9BUK6,MSTO1
O00519,FAAH
Q02252,ALDH6A1
Q13630,TSTA3
Q9Y6W5,WASF2
Q8NHQ9,DDX55
A0A494C0P0,MED27
Q9BU23,LMF2
Q9BTD8,RBM42
O43819,SCO2
Q12797,ASPH
E7EN77,NCAPD2
O00217,NDUFS8
A0A2R8Y761,RNASEH2B
Q14254,FLOT2
Q5VT52,RPRD2
B1AJY6,PSMD10
C9JG87,MRPL39
P36954,POLR2I
Q99961,SH3GL1
P40425,PBX2
P45954,ACADSB
C9J8P9,CLTA
B9ZVN9,POLR1A
Q9NRG7,SDR39U1
Q15067,ACOX1
A0A1W2PRQ0,CYRIB
A0A0G2JQD0,LSS
A6NM71,3 SV
O75629,CREG1
Q15554,TERF2
Q5U5X0,LYRM7
Q8WUA2,PPIL4
Q8N0U8,VKORC1L1
Q8N668,COMMD1
Q06481,APLP2
Q96IU4,ABHD14B
Q96PU4,UHRF2
E5RHE9,IMPA1
K7EPV0,COA3
A0A0A0MSZ9,CSTF1
Q8NFH3,NUP43
Q8N183,NDUFAF2
G3V4W4,GNPNAT1
Q9BRT6,LLPH
P22033,MMUT
Q96DG6,CMBL
Q9H9Y6,POLR1B
Q8N1B9,NDUFA10
Q4ZIN3,TMEM259
C9JBI3,PSPH
Q14657,LAGE3
Q96EE3,SEH1L
Q6PD74,AAGAB
Q9UJC3,HOOK1
P22059,OSBP
H3BUD2,DCTN5
C9JLM5,SERPINB5
Q16222,UAP1
Q9HB90,RRAGC
